case_id,scenario,drift_family,drift_level,n_current,age_shift_years,current_missing_fraction,source,feature,method,expected_signal,commit_sha,config_sha256,rate_kind,seeds,n_runs,n_decisions,n_alerts,observed_rate,mean_value,median_value
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,adversarial,,roc_auc,True,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,detection_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.6243495833333333,0.624104625
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,age,js,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.0015283154006461557,0.0014200185879160569
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,age,ks,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.023523333333333334,0.022650000000000003
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,age,psi,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.008483043368970305,0.007881196527792442
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,age,wasserstein,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.44882833333333344,0.43413333333333326
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,income,js,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.0013855950799059754,0.0011804476600368145
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,income,ks,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,1,0.05,0.027236394557823118,0.02493197278911563
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,income,psi,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,0,0.0,0.007691080777299413,0.006549099109096557
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,income,wasserstein,False,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,non_target_alert_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,0,0,,2403.868756326528,2201.500571938772
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,region,chi2,True,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,detection_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,20,1.0,271.8158838611404,271.1580644437443
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,region,js,True,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,detection_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,9,0.45,0.04911515203355894,0.048750732047075
categorical_standard_n1200,categorical,categorical,standard,1200,0.0,0.02,drift,region,psi,True,509c56e4630c19b10684cda4fdeed3d2d60e7dc3,05b7bab4beef95cc077c40c8cc949baf46a83e36cf9903f6bc97f9f5bcbe3253,detection_rate,2026091900|2026091901|2026091902|2026091903|2026091904|2026091905|2026091906|2026091907|2026091908|2026091909|2026091910|2026091911|2026091912|2026091913|2026091914|2026091915|2026091916|2026091917|2026091918|2026091919,20,20,20,1.0,0.2765887866642994,0.2744178613675723
